algo,n,rep,hauteur,largeur,prof_feuilles,taille_gauche,time_ms
Remy,50,1,15,12,9.7647,0,0.0541
ABR,50,1,13,18,7.1569,39,0.0300
Remy,50,2,18,12,10.9608,0,0.0341
ABR,50,2,13,24,6.8431,29,0.0288
Remy,50,3,17,16,9.8627,49,0.0322
ABR,50,3,10,20,6.5686,27,0.0291
Remy,50,4,15,14,8.1569,7,0.0310
ABR,50,4,10,20,6.7451,40,0.0279
Remy,50,5,18,10,10.5686,49,0.0310
ABR,50,5,10,16,7.5098,45,0.0281
Remy,50,6,19,14,9.8627,48,0.0310
ABR,50,6,10,20,6.7647,21,0.0260
Remy,50,7,18,10,9.9216,5,0.0310
ABR,50,7,10,22,6.6078,14,0.0291
Remy,50,8,18,10,11.0000,49,0.0310
ABR,50,8,12,18,6.7647,18,0.0279
Remy,50,9,19,8,10.4902,2,0.0310
ABR,50,9,9,20,6.9804,31,0.0279
Remy,50,10,11,18,6.9804,7,0.0310
ABR,50,10,9,24,6.4510,9,0.0288
Remy,50,11,22,10,11.2941,0,0.0300
ABR,50,11,14,18,7.4314,40,0.0288
Remy,50,12,20,10,12.6275,0,0.0319
ABR,50,12,11,16,7.7843,37,0.0279
Remy,50,13,19,8,10.2745,13,0.0310
ABR,50,13,12,20,7.1569,6,0.0291
Remy,50,14,18,10,11.0784,0,0.0448
ABR,50,14,12,14,7.7059,7,0.0310
Remy,50,15,25,8,12.4510,49,0.0341
ABR,50,15,9,18,6.5686,22,0.0291
Remy,50,16,20,8,10.4706,46,0.0310
ABR,50,16,10,22,6.8431,34,0.0291
Remy,50,17,18,10,10.1373,0,0.0310
ABR,50,17,14,18,7.4902,16,0.0281
Remy,50,18,14,12,9.2157,47,0.0329
ABR,50,18,9,22,6.5686,36,0.0281
Remy,50,19,12,16,7.6863,17,0.0310
ABR,50,19,11,20,6.8627,32,0.0288
Remy,50,20,17,10,9.9804,47,0.0341
ABR,50,20,11,20,6.5686,32,0.0291
Remy,50,21,17,12,9.9804,3,0.0329
ABR,50,21,10,18,6.7647,26,0.0281
Remy,50,22,13,12,7.8627,36,0.0310
ABR,50,22,10,14,6.9216,28,0.0279
Remy,50,23,18,12,10.3333,0,0.0510
ABR,50,23,15,14,8.0784,10,0.0319
Remy,50,24,13,12,8.0588,36,0.0310
ABR,50,24,12,18,7.8039,36,0.0291
Remy,50,25,18,10,10.4706,2,0.0319
ABR,50,25,11,16,6.9412,24,0.0291
Remy,50,26,13,12,8.3333,3,0.0310
ABR,50,26,10,24,6.4510,35,0.0291
Remy,50,27,16,14,10.0980,0,0.0989
ABR,50,27,13,16,7.7059,48,0.0379
Remy,50,28,21,10,12.0392,48,0.0339
ABR,50,28,8,20,6.3922,31,0.0279
Remy,50,29,16,10,9.6275,0,0.0319
ABR,50,29,10,22,6.6667,5,0.0288
Remy,50,30,15,12,8.8431,49,0.0322
ABR,50,30,10,20,6.7059,21,0.0279
Remy,50,31,18,10,10.3725,6,0.0310
ABR,50,31,12,16,8.1373,2,0.0279
Remy,50,32,17,10,9.8039,1,0.0310
ABR,50,32,10,20,6.6471,34,0.0291
Remy,50,33,14,12,9.4902,49,0.0322
ABR,50,33,14,16,7.9216,5,0.0281
Remy,50,34,16,10,9.3137,47,0.0329
ABR,50,34,12,18,8.2745,2,0.0288
Remy,50,35,18,12,9.6667,1,0.0310
ABR,50,35,11,16,6.8824,9,0.0300
Remy,50,36,17,10,10.0000,0,0.0310
ABR,50,36,10,22,6.3137,27,0.0269
Remy,50,37,14,12,8.8235,32,0.0319
ABR,50,37,10,26,6.6863,35,0.0281
Remy,50,38,15,10,9.3333,48,0.0310
ABR,50,38,11,16,7.0000,32,0.0279
Remy,50,39,20,10,10.2745,0,0.0310
ABR,50,39,12,16,7.1176,43,0.0279
Remy,50,40,18,12,9.5882,0,0.0310
ABR,50,40,10,22,6.5294,21,0.0279
Remy,50,41,16,12,9.8824,0,0.0300
ABR,50,41,14,22,7.6667,0,0.0281
Remy,50,42,18,10,11.1373,48,0.0300
ABR,50,42,10,22,6.5686,21,0.0269
Remy,50,43,24,10,13.6275,49,0.0319
ABR,50,43,10,18,6.6471,31,0.0288
Remy,50,44,17,10,9.9216,2,0.0329
ABR,50,44,11,18,7.0196,15,0.0281
Remy,50,45,13,16,9.2941,49,0.0288
ABR,50,45,15,14,8.1765,11,0.0288
Remy,50,46,17,16,9.4118,49,0.0298
ABR,50,46,10,16,7.1961,46,0.0281
Remy,50,47,15,14,9.0000,49,0.0310
ABR,50,47,11,20,7.1373,3,0.0281
Remy,50,48,17,12,9.7255,46,0.0300
ABR,50,48,14,16,7.7059,6,0.0291
Remy,50,49,23,10,11.5686,48,0.0310
ABR,50,49,14,20,7.0980,14,0.0451
Remy,50,50,20,10,13.0000,0,0.0570
ABR,50,50,10,26,6.5882,19,0.0260
Remy,100,1,22,18,12.2574,98,0.0300
ABR,100,1,12,32,8.8317,19,0.0250
Remy,100,2,23,20,12.9010,99,0.0291
ABR,100,2,12,36,8.1584,83,0.0250
Remy,100,3,26,16,12.9406,98,0.0279
ABR,100,3,12,36,7.9010,46,0.0260
Remy,100,4,24,16,14.1881,0,0.0288
ABR,100,4,13,30,8.6733,88,0.0260
Remy,100,5,24,16,13.8911,97,0.0288
ABR,100,5,13,36,8.6040,94,0.0260
Remy,100,6,21,26,11.4950,99,0.0288
ABR,100,6,18,20,10.2178,82,0.0260
Remy,100,7,25,20,13.9604,3,0.0319
ABR,100,7,13,32,8.9010,0,0.0260
Remy,100,8,21,20,13.1980,99,0.0298
ABR,100,8,15,32,9.9208,95,0.0260
Remy,100,9,22,22,11.5644,98,0.0291
ABR,100,9,13,42,7.9010,46,0.0260
Remy,100,10,18,20,11.1980,99,0.0291
ABR,100,10,14,26,8.7525,10,0.0260
Remy,100,11,23,18,11.8911,99,0.0291
ABR,100,11,14,34,8.4257,29,0.0260
Remy,100,12,19,22,11.8812,97,0.0288
ABR,100,12,14,26,8.4059,19,0.0260
Remy,100,13,22,16,12.9307,99,0.0291
ABR,100,13,13,34,8.6337,0,0.0260
Remy,100,14,37,12,20.0099,99,0.0291
ABR,100,14,14,30,8.3663,21,0.0260
Remy,100,15,24,16,13.7624,4,0.0291
ABR,100,15,12,36,7.9406,30,0.0260
Remy,100,16,26,24,12.3267,96,0.0291
ABR,100,16,13,32,8.3168,25,0.0250
Remy,100,17,22,20,13.0990,0,0.0288
ABR,100,17,13,36,9.3960,5,0.0250
Remy,100,18,23,16,14.1188,99,0.0291
ABR,100,18,10,44,7.4356,34,0.0260
Remy,100,19,29,16,16.5644,0,0.0279
ABR,100,19,11,42,8.0099,6,0.0670
Remy,100,20,25,22,11.4356,39,0.0300
ABR,100,20,15,30,8.6535,92,0.0250
Remy,100,21,20,24,13.0297,99,0.0679
ABR,100,21,13,32,8.3861,14,0.0288
Remy,100,22,27,14,14.8317,1,0.0300
ABR,100,22,14,32,8.4455,79,0.0262
Remy,100,23,25,14,13.1485,96,0.0288
ABR,100,23,14,30,8.6337,38,0.0250
Remy,100,24,21,20,11.6238,0,0.0291
ABR,100,24,13,28,8.5248,74,0.0260
Remy,100,25,30,14,14.9703,93,0.0291
ABR,100,25,13,32,8.2772,31,0.0260
Remy,100,26,20,22,11.6139,2,0.0291
ABR,100,26,13,32,8.2574,15,0.0250
Remy,100,27,27,14,13.9208,2,0.0432
ABR,100,27,13,32,9.4158,1,0.0300
Remy,100,28,27,18,15.5347,1,0.0291
ABR,100,28,15,30,8.4851,83,0.0250
Remy,100,29,23,22,13.6139,0,0.0300
ABR,100,29,15,34,9.1386,5,0.0260
Remy,100,30,20,26,12.9307,98,0.0291
ABR,100,30,14,26,8.4554,75,0.0260
Remy,100,31,26,14,14.8812,0,0.0291
ABR,100,31,11,36,7.6238,73,0.0420
Remy,100,32,18,20,10.3366,1,0.0331
ABR,100,32,11,34,7.9208,61,0.0250
Remy,100,33,24,12,13.9208,99,0.0532
ABR,100,33,14,26,8.7624,95,0.0269
Remy,100,34,21,16,13.5545,0,0.0288
ABR,100,34,14,42,7.7921,61,0.0260
Remy,100,35,23,16,11.9604,95,0.0300
ABR,100,35,14,26,8.7525,25,0.0260
Remy,100,36,23,30,10.6040,3,0.0291
ABR,100,36,12,32,8.0396,74,0.0260
Remy,100,37,35,16,17.9307,0,0.0300
ABR,100,37,13,36,8.6535,9,0.0260
Remy,100,38,24,18,12.5149,98,0.0300
ABR,100,38,12,38,8.0792,56,0.0260
Remy,100,39,26,24,12.8317,0,0.0300
ABR,100,39,12,34,8.3564,25,0.0260
Remy,100,40,27,18,13.1584,95,0.0291
ABR,100,40,15,28,9.5248,98,0.0260
Remy,100,41,18,22,11.6238,98,0.0291
ABR,100,41,14,36,8.2574,25,0.0260
Remy,100,42,22,26,12.4554,95,0.0288
ABR,100,42,14,28,9.2871,57,0.0260
Remy,100,43,25,18,15.3663,0,0.0288
ABR,100,43,15,32,8.4356,65,0.0260
Remy,100,44,27,18,13.8713,1,0.0288
ABR,100,44,14,28,9.1089,91,0.0260
Remy,100,45,18,20,10.9010,82,0.0291
ABR,100,45,13,40,8.3564,73,0.0250
Remy,100,46,22,20,13.1089,98,0.0291
ABR,100,46,12,26,8.2178,23,0.0260
Remy,100,47,21,20,11.3564,4,0.0291
ABR,100,47,12,36,8.0297,34,0.0250
Remy,100,48,24,16,12.0693,86,0.0300
ABR,100,48,11,40,7.7426,48,0.0250
Remy,100,49,21,18,12.0693,98,0.0291
ABR,100,49,12,32,8.2772,16,0.0401
Remy,100,50,20,20,11.8515,0,0.0291
ABR,100,50,16,28,8.7030,31,0.0269
Remy,200,1,26,38,14.9005,0,0.0391
ABR,200,1,15,48,9.9353,153,0.0310
Remy,200,2,29,28,15.6716,3,0.0510
ABR,200,2,17,44,10.2289,132,0.0319
Remy,200,3,30,34,15.8607,4,0.0470
ABR,200,3,16,60,9.5771,175,0.0319
Remy,200,4,23,36,15.4129,198,0.0610
ABR,200,4,17,54,10.0746,177,0.0331
Remy,200,5,26,30,14.8060,0,0.0501
ABR,200,5,16,52,9.8905,150,0.0479
Remy,200,6,22,42,12.9104,195,0.0620
ABR,200,6,12,86,8.7463,121,0.0341
Remy,200,7,34,32,19.2537,199,0.0489
ABR,200,7,15,56,9.9104,182,0.0310
Remy,200,8,33,30,16.5075,198,0.0501
ABR,200,8,15,58,9.7861,27,0.0319
Remy,200,9,34,28,16.8756,190,0.0491
ABR,200,9,14,64,9.1692,113,0.0310
Remy,200,10,40,24,18.1692,2,0.0629
ABR,200,10,16,52,9.5871,52,0.0310
Remy,200,11,30,26,17.2139,199,0.0439
ABR,200,11,14,74,9.1244,58,0.0288
Remy,200,12,28,36,15.3134,186,0.0510
ABR,200,12,19,52,10.7065,31,0.0291
Remy,200,13,23,32,13.3532,10,0.0429
ABR,200,13,15,60,10.1940,8,0.0291
Remy,200,14,33,26,18.3930,199,0.0510
ABR,200,14,17,54,9.8308,29,0.0322
Remy,200,15,32,30,20.7214,199,0.0479
ABR,200,15,14,54,9.8905,189,0.0322
Remy,200,16,31,26,16.1741,197,0.1938
ABR,200,16,15,68,8.9751,59,0.0360
Remy,200,17,32,24,18.6766,0,0.0498
ABR,200,17,18,56,9.5771,135,0.0310
Remy,200,18,28,32,17.4776,199,0.0589
ABR,200,18,16,52,9.6269,79,0.0319
Remy,200,19,42,26,20.9502,0,0.0479
ABR,200,19,18,46,11.4826,185,0.0319
Remy,200,20,31,30,16.6766,199,0.0498
ABR,200,20,15,62,9.2239,148,0.0319
Remy,200,21,30,22,16.4378,195,0.0620
ABR,200,21,15,64,9.4677,65,0.0339
Remy,200,22,28,36,12.9453,81,0.0548
ABR,200,22,15,60,9.5373,162,0.0341
Remy,200,23,30,36,18.6915,199,0.0491
ABR,200,23,16,44,10.1343,39,0.0999
Remy,200,24,34,30,17.9701,0,0.0610
ABR,200,24,18,44,10.3383,16,0.0319
Remy,200,25,31,24,17.1692,142,0.0470
ABR,200,25,15,54,9.8557,30,0.0298
Remy,200,26,43,20,24.6667,198,0.0491
ABR,200,26,14,66,9.0249,69,0.0300
Remy,200,27,24,36,13.1990,189,0.0479
ABR,200,27,13,62,8.8657,94,0.0298
Remy,200,28,27,32,18.4179,198,0.0572
ABR,200,28,16,58,10.9602,193,0.0288
Remy,200,29,28,26,17.1841,14,0.0498
ABR,200,29,14,74,8.9403,112,0.0300
Remy,200,30,30,28,17.4726,198,0.0570
ABR,200,30,15,70,8.8408,63,0.0310
Remy,200,31,35,26,17.7512,0,0.0470
ABR,200,31,16,66,9.9055,81,0.0319
Remy,200,32,27,34,14.1741,9,0.0601
ABR,200,32,17,44,10.1244,161,0.0288
Remy,200,33,38,22,18.5174,191,0.0491
ABR,200,33,15,68,8.9801,61,0.0310
Remy,200,34,34,30,17.2786,198,0.0541
ABR,200,34,18,50,9.6816,81,0.0291
Remy,200,35,26,32,17.5771,199,0.0410
ABR,200,35,18,54,9.4627,118,0.0279
Remy,200,36,45,24,24.0199,199,0.0520
ABR,200,36,15,64,9.6020,94,0.0291
Remy,200,37,30,24,18.3831,0,0.1159
ABR,200,37,17,64,9.8507,140,0.0470
Remy,200,38,27,30,14.9950,1,0.0660
ABR,200,38,17,70,9.5970,7,0.0331
Remy,200,39,34,22,18.4179,198,0.1919
ABR,200,39,20,44,13.1294,188,0.0670
Remy,200,40,37,20,20.8308,1,0.0799
ABR,200,40,15,66,9.6766,192,0.0451
Remy,200,41,30,28,16.4229,197,0.0830
ABR,200,41,16,64,9.8507,112,0.0379
Remy,200,42,32,26,17.9005,199,0.0730
ABR,200,42,16,56,9.8706,141,0.0310
Remy,200,43,26,26,15.3731,6,0.0429
ABR,200,43,19,40,10.9303,46,0.0300
Remy,200,44,28,26,15.9453,1,0.0548
ABR,200,44,13,58,9.1940,74,0.0281
Remy,200,45,30,22,15.7761,7,0.0439
ABR,200,45,18,52,10.3284,119,0.0291
Remy,200,46,25,40,16.3483,199,0.0520
ABR,200,46,14,70,9.3134,156,0.0281
Remy,200,47,36,28,21.3333,0,0.0410
ABR,200,47,19,66,9.7164,169,0.0288
Remy,200,48,35,32,16.4975,1,0.0551
ABR,200,48,13,70,8.8159,134,0.0489
Remy,200,49,30,26,17.2537,0,0.0439
ABR,200,49,15,58,9.6766,101,0.0310
Remy,200,50,34,22,18.8358,199,0.0541
ABR,200,50,21,62,9.9602,59,0.0291
Remy,500,1,46,52,24.6627,2,0.1040
ABR,500,1,21,138,11.0419,330,0.0811
Remy,500,2,45,54,26.8104,0,0.1371
ABR,500,2,17,152,11.3473,217,0.0389
Remy,500,3,50,60,24.9741,496,0.1030
ABR,500,3,18,132,11.5150,323,0.0641
Remy,500,4,38,58,18.8263,0,0.1481
ABR,500,4,16,162,10.3832,226,0.0379
Remy,500,5,45,62,20.8483,499,0.0699
ABR,500,5,18,134,10.8263,287,0.0391
Remy,500,6,44,48,23.5070,9,0.0892
ABR,500,6,20,142,11.4351,113,0.0381
Remy,500,7,50,44,29.4092,498,0.0689
ABR,500,7,24,118,13.0838,489,0.0379
Remy,500,8,48,58,25.1417,0,0.0939
ABR,500,8,25,124,11.7764,423,0.0789
Remy,500,9,30,66,19.3932,487,0.0930
ABR,500,9,18,144,11.6986,164,0.0470
Remy,500,10,38,62,20.5948,485,0.1431
ABR,500,10,19,110,11.8184,467,0.0451
Remy,500,11,43,54,27.0040,1,0.0851
ABR,500,11,22,152,11.5170,190,0.0451
Remy,500,12,40,56,20.7864,0,0.1011
ABR,500,12,18,114,11.3892,352,0.0439
Remy,500,13,60,40,24.5469,498,0.0870
ABR,500,13,17,146,10.8024,246,0.0441
Remy,500,14,41,46,23.5150,1,0.1090
ABR,500,14,20,126,11.4251,72,0.0379
Remy,500,15,40,58,22.6048,1,0.0851
ABR,500,15,19,124,11.7884,122,0.0451
Remy,500,16,38,62,24.2036,0,0.0830
ABR,500,16,18,144,11.3812,224,0.0379
Remy,500,17,45,44,23.2216,499,0.0691
ABR,500,17,19,164,10.6467,247,0.0379
Remy,500,18,32,78,19.5908,498,0.1020
ABR,500,18,17,148,10.8463,206,0.0379
Remy,500,19,46,54,22.9760,0,0.0732
ABR,500,19,19,128,11.3772,152,0.0379
Remy,500,20,39,58,22.0659,499,0.0789
ABR,500,20,20,120,11.6427,484,0.0381
Remy,500,21,55,50,24.7964,0,0.0701
ABR,500,21,18,148,10.7106,206,0.0381
Remy,500,22,45,46,24.8942,498,0.0949
ABR,500,22,18,146,10.9461,319,0.0381
Remy,500,23,44,54,24.0778,2,0.0861
ABR,500,23,17,148,10.9441,350,0.0420
Remy,500,24,42,54,21.0818,3,0.0801
ABR,500,24,20,152,12.0180,470,0.0391
Remy,500,25,58,34,27.0319,2,0.0701
ABR,500,25,19,126,11.5988,426,0.0651
Remy,500,26,36,66,22.2355,499,0.0999
ABR,500,26,17,150,11.3892,86,0.0401
Remy,500,27,44,48,22.7206,497,0.0741
ABR,500,27,17,142,11.4152,250,0.0379
Remy,500,28,45,40,23.9920,1,0.0789
ABR,500,28,19,152,10.5509,161,0.0370
Remy,500,29,42,54,20.6687,499,0.0679
ABR,500,29,18,134,11.1257,347,0.0370
Remy,500,30,36,56,22.1497,499,0.0949
ABR,500,30,18,122,11.2395,295,0.0381
Remy,500,31,42,48,22.7685,0,0.0741
ABR,500,31,22,138,11.9920,478,0.0381
Remy,500,32,45,44,25.2315,2,0.1640
ABR,500,32,19,140,11.2794,359,0.0389
Remy,500,33,70,44,29.9361,0,0.0701
